ENSEMBLE,REAL,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
iter-0,1,rms_seed,p10_p90,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,36,cohiba,simulation,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
iter-0,33,relp_wo,pes,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1,0.7,0
iter-0,26,relp_wo,opt,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,1,0.7,0
iter-0,27,relp_wo,opt,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,1,0.7,0
iter-0,24,multflt1,closed,1004,1705,1E-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,22,multflt1,closed,1002,1705,1E-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,23,multflt1,closed,1003,1705,1E-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,25,relp_wo,opt,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,1,0.7,0
iter-0,7,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,9,fwl,deep,1004,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,30,relp_wo,pes,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1,0.7,0
iter-0,12,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,8,fwl,deep,1003,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,31,relp_wo,pes,1001,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1,0.7,0
iter-0,11,fwl,shallow,1001,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,13,fwl,shallow,1003,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,21,multflt1,closed,1001,1705,1E-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,15,multflt1,open,1000,1705,1,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,19,multflt1,open,1004,1705,1,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,3,rms_seed,p10_p90,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,17,multflt1,open,1002,1705,1,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,35,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
iter-0,34,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1,0.7,0
iter-0,39,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
iter-0,6,fwl,deep,1001,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,16,multflt1,open,1001,1705,1,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,20,multflt1,closed,1000,1705,1E-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,18,multflt1,open,1003,1705,1,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,4,rms_seed,p10_p90,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,29,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1,0.7,0
iter-0,37,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
iter-0,32,relp_wo,pes,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1,0.7,0
iter-0,28,relp_wo,opt,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,1,0.7,0
iter-0,5,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,2,rms_seed,p10_p90,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,38,cohiba,simulation,1003,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
iter-0,14,fwl,shallow,1004,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,10,fwl,shallow,1000,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
iter-0,0,rms_seed,p10_p90,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
